4.760890	-3.231820	-0.528466
4.744090	-3.351740	-0.632589
4.670230	-3.108670	-0.527903
4.655840	-3.210340	-0.631264
4.578640	-2.993270	-0.528520
4.564990	-3.089040	-0.631413
4.487630	-2.874270	-0.528587
4.473160	-2.975720	-0.632242
4.396720	-2.755420	-0.528549
4.381300	-2.863340	-0.632894
4.305880	-2.636770	-0.528272
4.289810	-2.749070	-0.632707
4.214440	-2.523290	-0.528257
4.198490	-2.634320	-0.632607
4.123520	-2.406700	-0.528982
4.107230	-2.519810	-0.632984
4.032260	-2.293450	-0.528570
4.015150	-2.412040	-0.633437
3.938670	-2.197830	-0.527677
3.921790	-2.314150	-0.633408
3.841690	-2.127040	-0.527976
3.827760	-2.221750	-0.633609
3.743750	-2.063520	-0.529337
3.731840	-2.143430	-0.633986
3.644710	-2.008450	-0.528639
3.633840	-2.080510	-0.634451
3.550830	-1.916520	-0.530625
3.538870	-1.996280	-0.634603
3.456470	-1.828780	-0.530818
3.441660	-1.928480	-0.634681
3.362680	-1.737580	-0.530463
3.346230	-1.848540	-0.634604
3.268520	-1.649390	-0.531600
3.251750	-1.762240	-0.634776
3.173340	-1.568970	-0.531544
3.156360	-1.682930	-0.634680
3.076970	-1.497440	-0.531374
3.059980	-1.611000	-0.634720
2.979440	-1.434310	-0.531266
2.963030	-1.543410	-0.634614
2.882050	-1.370480	-0.531741
2.866250	-1.475020	-0.635042
2.783750	-1.313400	-0.531414
2.769300	-1.408130	-0.634827
2.684800	-1.261010	-0.531275
2.672290	-1.342070	-0.635003
2.585030	-1.214580	-0.531328
2.573510	-1.288460	-0.635687
2.484180	-1.175620	-0.532518
2.474070	-1.239630	-0.636302
2.389550	-1.094710	-0.529962
2.380960	-1.148110	-0.633617
2.292110	-1.033030	-0.530898
2.283890	-1.083810	-0.633989
2.199270	-0.940770	-0.528729
2.188520	-1.008390	-0.633181
2.099570	-0.895083	-0.530107
2.089910	-0.955147	-0.634111
2.002020	-0.835136	-0.531070
1.992970	-0.890896	-0.634745
1.904320	-0.776578	-0.531133
1.895360	-0.831571	-0.634685
1.807350	-0.713445	-0.531137
1.797910	-0.771484	-0.634521
1.709020	-0.659720	-0.531208
1.699040	-0.721164	-0.634380
1.609920	-0.611370	-0.530673
1.599390	-0.676190	-0.634088
1.510460	-0.565605	-0.530565
1.499380	-0.633855	-0.633820
1.410770	-0.521523	-0.530682
1.399420	-0.591360	-0.633675
1.310140	-0.483828	-0.530345
1.298520	-0.555185	-0.633662
1.209470	-0.446461	-0.530425
1.197220	-0.521739	-0.633825
1.108310	-0.412531	-0.529929
1.095300	-0.492520	-0.633298
1.005400	-0.390096	-0.529397
0.992191	-0.471076	-0.632858
0.902220	-0.369449	-0.529064
0.888854	-0.451163	-0.632463
0.797957	-0.355826	-0.528487
0.784952	-0.434921	-0.631981
0.693037	-0.346372	-0.528247
0.680206	-0.424099	-0.631638
0.587627	-0.340041	-0.527679
0.574970	-0.416378	-0.631247
0.482911	-0.329127	-0.528067
0.469113	-0.412564	-0.630907
0.379757	-0.308102	-0.529794
0.364284	-0.402085	-0.630940
0.275608	-0.293401	-0.531740
0.252854	-0.433267	-0.633315
-0.154211	-0.319455	-0.514780
-0.184547	-0.504222	-0.625544
-0.268416	-0.367788	-0.510060
-0.300247	-0.561018	-0.623960
-0.391956	-0.472792	-0.517182
-0.418204	-0.631204	-0.624522
-0.516217	-0.581929	-0.519074
-0.534932	-0.693312	-0.623832
-0.633506	-0.647289	-0.519060
-0.651675	-0.754996	-0.623150
-0.750900	-0.712804	-0.518557
-0.767557	-0.810850	-0.622610
-0.864705	-0.755800	-0.517369
-0.882740	-0.862066	-0.620718
-0.980649	-0.811567	-0.515557
-0.997176	-0.908130	-0.620401
-1.092970	-0.844609	-0.515160
-1.114710	-0.972765	-0.619117
-1.209680	-0.904169	-0.513775
-1.230120	-1.024010	-0.618047
-1.329610	-0.982711	-0.512654
-1.348960	-1.095580	-0.616592
-1.450960	-1.069220	-0.512028
-1.463810	-1.142380	-0.616638
-1.569370	-1.137400	-0.510739
-1.579590	-1.194460	-0.615788
-1.689430	-1.214950	-0.509759
-1.697000	-1.255840	-0.614851
-1.809490	-1.291930	-0.508721
-1.816050	-1.326650	-0.613796
-1.930540	-1.374210	-0.507336
-1.936030	-1.402500	-0.612384
